text,label
นี่มัน ไอ้บัดซบ ชัดๆ,1
อยากจะบอกว่า ขอบคุณสำหรับความช่วยเหลือ,0
ไอ้หมา มาก,1
เลิกทำตัว ไอ้เหี้ย ได้แล้ว,1
โคตร ไอสัส เลย,1
มึงโง่ ว่ะ,1
รู้สึกว่า พักผ่อนเยอะๆนะ,0
คิดว่า ยินดีด้วย,0
นี่มัน ไอ้เหี้ย ชัดๆ,1
มึงนี่ ส้นตีน,1
โคตร เวรเอ้ย เลย,1
วันนี้ กินข้าวหรือยัง,0
คิดถึงนะ,0
ไอสัส มาก,1
วันนี้ พักผ่อนเยอะๆนะ,0
โคตร มึงบ้า เลย,1
รู้สึกว่า ไปกินข้าวกันไหม,0
โคตร โคตรห่วย เลย,1
โคตร ไอ้เหี้ย เลย,1
โคตร ห่วยแตก เลย,1
เป็นกำลังใจให้ นะ,0
เลิกทำตัว โคตรห่วย ได้แล้ว,1
ไอ้เวร ชิบหาย,1
กำลังจะ เจอกันพรุ่งนี้,0
มึงนี่ มึงโง่,1
หวังว่า สวัสดีครับ,0
ทำไม หมาเอ้ย แบบนี้,1
มึงนี่ ไอ้บ้า,1
ควาย ชิบหาย,1
หวังว่า เกมนี้สนุกมาก,0
ห่วยแตก ชิบหาย,1
รู้สึกว่า ขอให้โชคดี,0
วันนี้ ขอให้โชคดี,0
ไปเที่ยวกัน นะ,0
แม่ง ส้นตีน,1
เป็นกำลังใจให้ นะ,0
มึงโง่ จริงๆ,1
โคตร ไอ้ส้นตีน เลย,1
โคตร ไอ้ส้นตีน เลย,1
นี่มัน บัดซบ ชัดๆ,1
อยากจะบอกว่า ดีใจที่ได้เจอ,0
รู้สึกว่า เจอกันพรุ่งนี้,0
แม่ง ส้นตีน,1
หวังว่า ขอบคุณมาก,0
หวังว่า ยินดีด้วย,0
โคตร ไอ้บัดซบ เลย,1
ไอ้ควาย ว่ะ,1
แม่ง เหี้ย,1
มึงนี่ หมาเอ้ย,1
ทำไม โคตรห่วย แบบนี้,1
แม่ง ไอ้บัดซบ,1
เพื่อนบอกว่า ยินดีด้วย,0
